
=== 期末TB(12-11) (ALL rows) ===
  帳票名 | None | None | bal=None
  書式名 | None | None | bal=None
  事業所名 | None | None | bal=None
  処理日時 | 11:31:15 | None | bal=None
  月次/期間 | None | None | bal=None
  集計期間 | 45991 | 決算仕訳を含む | bal=None
  税抜/税込 | None | None | bal=None
  [表題行] | 分類 | 勘定科目 | bal=当期残高
  [区分行] | [貸借対照表] | [現金･預金] | bal=None
  [明細行] | [貸借対照表] | 現金 | bal=4065396
  [明細行] | [貸借対照表] | 普通預金 | bal=4160513400
  [明細行] | [貸借対照表] | 定期預金 | bal=266081678
  [明細行] | [貸借対照表] | 定期積金 | bal=116058567
  [明細行] | [貸借対照表] | 返済準備金留保口座 | bal=8622197
  [合計行] | [貸借対照表] | 現金･預金合計 | bal=4555341238
  [区分行] | [貸借対照表] | [売上債権] | bal=None
  [合計行] | [貸借対照表] | 売上債権合計 | bal=0
  [区分行] | [貸借対照表] | [有価証券] | bal=None
  [合計行] | [貸借対照表] | 有価証券合計 | bal=0
  [区分行] | [貸借対照表] | [棚卸資産] | bal=None
  [明細行] | [貸借対照表] | 販売用不動産 | bal=164827182
  [明細行] | [貸借対照表] | 販売用不動産(収益) | bal=8799072003
  [明細行] | [貸借対照表] | 仕掛販売用不動産 | bal=18546862320
  [明細行] | [貸借対照表] | 未成工事支出金 | bal=101290946
  [合計行] | [貸借対照表] | 棚卸資産合計 | bal=27612052451
  [区分行] | [貸借対照表] | [他流動資産] | bal=None
  [明細行] | [貸借対照表] | 短期貸付金 | bal=170000000
  [明細行] | [貸借対照表] | 仮払金 | bal=0
  [明細行] | [貸借対照表] | 前渡金 | bal=200721500
  [明細行] | [貸借対照表] | 前払費用 | bal=135031837
  [明細行] | [貸借対照表] | 立替金 | bal=199227
  [明細行] | [貸借対照表] | 未収収益 | bal=7569444
  [明細行] | [貸借対照表] | 未収入金 | bal=19300530
  [明細行] | [貸借対照表] | 仮払消費税 | bal=0
  [明細行] | [貸借対照表] | 未収消費税 | bal=0
  [明細行] | [貸借対照表] | 未収法人税等 | bal=0
  [明細行] | [貸借対照表] | 完成工事未収入金 | bal=65000000
  [合計行] | [貸借対照表] | 他流動資産合計 | bal=597822538
  [合計行] | [貸借対照表] | 流動資産合計 | bal=32765216227
  [区分行] | [貸借対照表] | [有形固定資産] | bal=None
  [明細行] | [貸借対照表] | 建物 | bal=1223824136
  [明細行] | [貸借対照表] | 附属設備 | bal=133950237
  [明細行] | [貸借対照表] | 構築物 | bal=1564909
  [明細行] | [貸借対照表] | 車両運搬具 | bal=5
  [明細行] | [貸借対照表] | 工具器具備品 | bal=30426551
  [明細行] | [貸借対照表] | 土地 | bal=1834402478
  [明細行] | [貸借対照表] | 建設仮勘定 | bal=0
  [合計行] | [貸借対照表] | 有形固定資産計 | bal=3224168316
  [区分行] | [貸借対照表] | [無形固定資産] | bal=None
  [明細行] | [貸借対照表] | ソフトウェア | bal=2471759
  [明細行] | [貸借対照表] | のれん | bal=0
  [合計行] | [貸借対照表] | 無形固定資産計 | bal=2471759
  [区分行] | [貸借対照表] | [投資その他の資産] | bal=None
  [明細行] | [貸借対照表] | 出資金 | bal=122132000
  [明細行] | [貸借対照表] | 差入保証金 | bal=91574240
  [明細行] | [貸借対照表] | 長期貸付金 | bal=301540000
  [明細行] | [貸借対照表] | 長期前払費用 | bal=1881500
  [明細行] | [貸借対照表] | 保険積立金 | bal=76590529
  [明細行] | [貸借対照表] | ﾘｻｲｸﾙ預託金 | bal=52000
  [明細行] | [貸借対照表] | ｺﾞﾙﾌ会員権 | bal=3790000
  [明細行] | [貸借対照表] | 繰延消費税額等 | bal=136203823
  [合計行] | [貸借対照表] | 投資その他の資産合計 | bal=733764092
  [合計行] | [貸借対照表] | 固定資産合計 | bal=3960404167
  [区分行] | [貸借対照表] | [繰延資産] | bal=None
  [合計行] | [貸借対照表] | 繰延資産合計 | bal=0
  [区分行] | [貸借対照表] | [諸口] | bal=None
  [合計行] | [貸借対照表] | 資産合計 | bal=36725620394
  [区分行] | [貸借対照表] | [仕入債務] | bal=None
  [合計行] | [貸借対照表] | 仕入債務合計 | bal=0
  [区分行] | [貸借対照表] | [他流動負債] | bal=None
  [明細行] | [貸借対照表] | 短期借入金 | bal=7084921000
  [明細行] | [貸借対照表] | 仮受金 | bal=0
  [明細行] | [貸借対照表] | 前受金 | bal=26400000
  [明細行] | [貸借対照表] | 未成工事受入金 | bal=288740000
  [明細行] | [貸借対照表] | 前受収益 | bal=20797203
  [明細行] | [貸借対照表] | 未払金 | bal=784402763
  [明細行] | [貸借対照表] | 未払費用 | bal=95075
  [明細行] | [貸借対照表] | 未払法人税等 | bal=1065099400
  [明細行] | [貸借対照表] | 未払消費税等 | bal=220068600
  [明細行] | [貸借対照表] | 預り金 | bal=10762349
  [明細行] | [貸借対照表] | 仮受消費税 | bal=0
  [合計行] | [貸借対照表] | 他流動負債合計 | bal=9501286390
  [合計行] | [貸借対照表] | 流動負債合計 | bal=9501286390
  [区分行] | [貸借対照表] | [固定負債] | bal=None
  [明細行] | [貸借対照表] | 長期借入金 | bal=20722648485
  [明細行] | [貸借対照表] | 社債 | bal=72000000
  [明細行] | [貸借対照表] | 預り保証金 | bal=277674400
  [明細行] | [貸借対照表] | 資本性借入金 | bal=250000000
