"帳票名"	"残高試算表(月次・期間)"
"書式名"	"汎用形式"
"事業所名"	"株式会社ＤＯＯＲＤＯ"
"処理日時"	"令和08年03月11日"	"11:40:52"
"月次/期間"	"期間"
"集計期間"	"令和07年12月01日"	"令和07年12月31日"	"決算仕訳を含む"	""
"税抜/税込"	"税抜"
"[表題行]"	"部門"	"分類"	"勘定科目"	"前期繰越"	"期間借方"	"期間貸方"	"当期残高"	"構成比(対売上比)(%)"
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[現金･預金]"					
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"現金"	4065396	5685000	6955447	2794949	0.01
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"普通預金"	4160513400	5540320218	6054024756	3646808862	9.01
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"定期預金"	266081678	210032820	0	476114498	1.18
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"定期積金"	116058567	4500365	18000000	102558932	0.25
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"返済準備金留保口座"	8622197	0	0	8622197	0.02
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"現金･預金合計"	4555341238	5760538403	6078980203	4236899438	10.47
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[売上債権]"					
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"売上債権合計"	0	0	0	0	0.00
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[有価証券]"					
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"有価証券合計"	0	0	0	0	0.00
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[棚卸資産]"					
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"販売用不動産"	164827182	0	0	164827182	0.41
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"仕掛販売用不動産"	18546862320	1639444835	611336318	19574970837	48.38
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"未成工事支出金"	101290946	178067633	138427399	140931180	0.35
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"販売用不動産(収益)"	8799072003	1037252199	11864270	9824459932	24.28
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"棚卸資産合計"	27612052451	2854764667	761627987	29705189131	73.42
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[他流動資産]"					
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"短期貸付金"	170000000	1739700000	0	1909700000	4.72
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"前渡金"	200721500	1600000	72198000	130123500	0.32
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"前払費用"	135031837	7587401	14428069	128191169	0.32
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"立替金"	199227	421000	445800	174427	0.00
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"未収収益"	7569444	2632670	3046344	7155770	0.02
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"未収入金"	19300530	78040851	80573357	16768024	0.04
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"仮払消費税"	0	140130307	50430194	89700113	0.22
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"完成工事未収入金"	65000000	172850000	0	237850000	0.59
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"他流動資産合計"	597822538	2142962229	221121764	2519663003	6.23
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"流動資産合計"	32765216227	10758265299	7061729954	36461751572	90.11
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[有形固定資産]"					
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"建物"	1223824136	0	5046470	1218777666	3.01
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"附属設備"	133950237	0	1233940	132716297	0.33
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"構築物"	1564909	0	11333	1553576	0.00
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"車両運搬具"	5	0	0	5	0.00
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"工具器具備品"	30426551	4545455	503792	34468214	0.09
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"土地"	1834402478	0	0	1834402478	4.53
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"有形固定資産計"	3224168316	4545455	6795535	3221918236	7.96
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[無形固定資産]"					
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"ソフトウェア"	2471759	0	70514	2401245	0.01
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"無形固定資産計"	2471759	0	70514	2401245	0.01
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[投資その他の資産]"					
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"出資金"	122132000	0	500000	121632000	0.30
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"差入保証金"	91574240	0	1078000	90496240	0.22
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"長期貸付金"	301540000	0	6000000	295540000	0.73
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"長期前払費用"	1881500	0	24300	1857200	0.00
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"保険積立金"	76590529	77650	0	76668179	0.19
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"ﾘｻｲｸﾙ預託金"	52000	0	0	52000	0.00
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"ｺﾞﾙﾌ会員権"	3790000	0	0	3790000	0.01
"[明細行]"	"事業所(合計)"	"[貸借対照表]"	"繰延消費税額等"	136203823	49685546	0	185889369	0.46
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"投資その他の資産合計"	733764092	49763196	7602300	775924988	1.92
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"固定資産合計"	3960404167	54308651	14468349	4000244469	9.89
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[繰延資産]"					
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"繰延資産合計"	0	0	0	0	0.00
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[諸口]"					
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"資産合計"	36725620394	10812573950	7076198303	40461996041	100.00
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[仕入債務]"					
"[合計行]"	"事業所(合計)"	"[貸借対照表]"	"仕入債務合計"	0	0	0	0	0.00
"[区分行]"	"事業所(合計)"	"[貸借対照表]"	"[他流動負債]"					
